store_name,item_code,item_barcode,description,category,department,sub_department,section,quantity,total_sales,rrp,supplier,date_of_sale,unit_price,price_diff,z_score,is_outlier
UTAWALA MAIN,286878,6927158564432,HC-HARPIC P/PLUS 500M ORG.T/P SAVE 300,HOMECARE,CLEANERS & POLISH,TOILET & SEPTIC CARE,TOILET CLEANER,2.0,1551.723999023438,555.75,TOWFIQ (K) LIMITED,2025-09-24,775.861999511719,220.11199951171898,4.003147855108898,True
UTAWALA MAIN,440054,2954793664758,BID ELIANTO CORN OIL 5L,FOODS,COOKING OILS AND FATS,COOKING OIL,CORN OIL,1.0,2261.2060546875,2853.55,BIDCO AFRICA LIMITED,2025-09-25,2261.2060546875,-592.3439453125002,-10.77903704476607,True
UTAWALA MAIN,440096,1715045431400,KAP RINA VEGETABLE OIL 3L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,3.0,2169.827453613281,557.34,KAPA OIL REFINERIES LTD,2025-09-26,723.2758178710936,165.9358178710936,3.0174423048169325,True
UTAWALA MAIN,440110,8225630070193,BID GOLDEN FRY COOKING OIL 5L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,6.0,6201.719970703125,1268.38,BIDCO AFRICA LIMITED,2025-09-22,1033.6199951171875,-234.7600048828126,-4.272995753134984,True
UTAWALA MAIN,440115,5421734137453,BID ELIANTO CORN OIL 2LT,FOODS,COOKING OILS AND FATS,COOKING OIL,CORN OIL,1.0,1031.89599609375,791.97,BIDCO AFRICA LIMITED,2025-09-22,1031.89599609375,239.92599609374997,4.363652523635193,True
UTAWALA MAIN,440168,3154888707279,KAP RINSUN SUNFLOWER 5LTRS,FOODS,COOKING OILS AND FATS,COOKING OIL,SUNFLOWER OIL,1.0,1325.862060546875,1052.84,KAPA OIL REFINERIES LTD,2025-09-24,1325.862060546875,273.0220605468751,4.965817043842038,True
UTAWALA MAIN,440180,6071832179042,BID KIMBO PREMIUM OIL 2L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,1.0,614.6550903320312,780.0,BIDCO AFRICA LIMITED,2025-09-27,614.6550903320312,-165.34490966796875,-3.0100266298919336,True
UTAWALA MAIN,440197,2759396889217,GAK AVENA VEG OIL 3L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,2.0,1508.62060546875,959.97,GOLDEN AFRICA KENYA LIMITED,2025-09-27,754.310302734375,-205.65969726562503,-3.743531810405663,True
UTAWALA MAIN,440307,7183962919739,TSSL-SALIT VEG.COOKING OIL 10LT,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,1.0,2189.655029296875,1844.7,PWANI OIL PRODUCTS LTD,2025-09-26,2189.655029296875,344.95502929687495,6.274597478317761,True
UTAWALA MAIN,600541,60913160547,HC-GDL PERSIL MACHINE WASH 4.5KG(REG),HOMECARE,SOAPS AND DETERGENTS,MACHINE WASH DETERGENT,MACHINE WASH POWDER,1.0,2412.930908203125,3087.64,GREENBELT DISTRIBUTORS LIMITED,2025-09-23,2412.930908203125,-674.7090917968749,-12.277625161935594,True
UTAWALA MAIN,601161,8226926282017,HC-KAP TOSS SENSATION/SENSITIV 3.5KGBCKT,HOMECARE,SOAPS AND DETERGENTS,HAND WASH DETERGENT,HAND WASH POWDER,1.0,996.5516967773438,1286.36,KAPA OIL REFINERIES LTD,2025-09-23,996.5516967773438,-289.80830322265615,-5.274568982633729,True
UTAWALA MAIN,677716,2069227322253,HC-HARPIC P/PLUS CTRUS1LTWN PCK(SAVE500),HOMECARE,CLEANERS & POLISH,TOILET & SEPTIC CARE,TOILET CLEANER,1.0,1551.723999023438,1781.54,TOWFIQ (K) LIMITED,2025-09-26,1551.723999023438,-229.816000976562,-4.18304234661063,True
UTAWALA MAIN,683904,626189475251,HC-DOWNY POUCH SWEET ELEGANCE 900ML,HOMECARE,SOAPS AND DETERGENTS,FABRIC SOFTENER,CONCENTRATE,2.0,1205.17236328125,437.49,HASBAH KENYA LTD,2025-09-24,602.586181640625,165.096181640625,3.002165589708267,True
RONGAI EXPRESS,230315,579074354800,PC-MILIKI ADULT CARE DIAPER EXTRA LARGE,PERSONAL CARE,DIAPERS AND WIPES,ADULT DIAPERS,ADULT DIAPER TAPED,1.0,900.0,702.21,MILIKI GLOBAL LIMITED,2025-09-25,900.0,197.78999999999996,3.5970114655369807,True
RONGAI EXPRESS,230356,9574736410130,PC-HML SOFTCARE GOLDJUMBOMAXI 64PL64/L56,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,1033.619995117188,1274.35,SOFTCARE KENYA LIMITED,2025-09-26,1033.619995117188,-240.73000488281195,-4.381616589027,True
RONGAI EXPRESS,230371,7079133635000,PC-HML SOFTCARE PREMIUMJUMBOSMALLS80/S68,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,1353.447998046875,1039.16,SOFTCARE KENYA LIMITED,2025-09-22,1353.447998046875,314.2879980468749,5.716627868819951,True
RONGAI EXPRESS,440042,1589584452048,POP FRESH FRI OIL 3L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,4.0,2996.551513671875,542.89,PWANI OIL PRODUCTS LTD,2025-09-25,749.1378784179688,206.24787841796876,3.7508978681555587,True
RONGAI EXPRESS,440096,9841397037648,KAP RINA VEGETABLE OIL 3L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,2.0,1446.551635742188,531.34,KAPA OIL REFINERIES LTD,2025-09-22,723.275817871094,191.93581787109395,3.490497871515885,True
RONGAI EXPRESS,440097,1355744398503,KAP RINA VEGETABLE OIL 5L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,26.0,26874.11962890625,1256.47,KAPA OIL REFINERIES LTD,2025-09-23,1033.6199857271636,-222.85001427283646,-4.056300085543391,True
RONGAI EXPRESS,440098,3359823492386,KAP RINA VEGETABLE OIL 10L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,1.0,2543.10302734375,3172.6,KAPA OIL REFINERIES LTD,2025-09-22,2543.10302734375,-629.4969726562499,-11.455015752638339,True
RONGAI EXPRESS,440106,7133232709881,BID GOLDEN FRY COOKING OIL 3L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,1.0,732.7586059570312,916.97,BIDCO AFRICA LIMITED,2025-09-22,732.7586059570312,-184.21139404296878,-3.3532918398008746,True
RONGAI EXPRESS,440110,7606959207498,BID GOLDEN FRY COOKING OIL 5L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,5.0,5168.099975585938,1319.41,BIDCO AFRICA LIMITED,2025-09-28,1033.6199951171877,-285.79000488281235,-5.201458275006027,True
